dt_ecriture;exercice_comptable;nøpiece;nom_fichier;libelle;type;ttc;tva;ht;mode_rglt;etat_statut;idt_mode_reg;idt_statut;idt_ss_categorie
2019-09-10;2019;Note De Frais N°0838;955-NDF_0838.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2019-09-13;2019;Note De Frais N°0839;956-NDF_0839.pdf;Au Bureau;Restauration;82.7;8.58;74.12;CB PRO;;3;;15
2019-09-20;2019;Note De Frais N°1974493_62;420-NDF_1974493.pdf;Mercedes - LOA;LOA véhicule;414.57;;;VRMT;;5;;9
2019-09-24;2019;Note De Frais N°0840;957-NDF_0840.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2019-09-26;2019;Note De Frais N°0841;958-NDF_0841.pdf;La Villa;Restauration;32.4;;;CB PRO;;3;;15
2019-09-29;2019;Note De Frais N°0842;959-NDF_0843.pdf;221 B. Baker Street;Restauration;58;6.57;51.43;CB PRO;;3;;15
2020-02-10;2020;Cipav 2020_2;CIPAV-2020.pdf;CIPAV 2020;CIPAV 2020;971.34;;;VRMT;;5;;7
2019-09-30;2019;Note De Frais N°0843;960-NDF_0843.pdf;Forfait mobile de Septembre 2019;Forfait mobile de Septembre 2019;50;;;VRMT;PAYE;5;1;33
2019-09-30;2019;Note De Frais N°0843_1;960-NDF_0843.pdf;Forfait internet de Septembre  2019;Forfait internet de Septembre  2019;50;;;VRMT;PAYE;5;1;34
2019-09-30;2019;Note De Frais N°0843_2;960-NDF_0843.pdf;EDF de Septembre  2019;EDF de Septembre  2019;50;;;VRMT;PAYE;5;1;32
2019-10-01;2020;Note De Frais N°0855_3;972-NDF_0855.pdf;Club Quarter;Séjour Pro San Francisco;4223.61;;;CB PRO;;3;;36
2019-10-02;2020;Note De Frais N°0844;961-NDF_0844.pdf;Le Dauphin Bleu;Restauration;17.4;1.58;15.82;CB PRO;;3;;15
2019-10-02;2020;Note De Frais N°0845;962-NDF_0845.pdf;LeClerc;Carburant Auto;66.95;11.16;55.79;CB PRO;;3;;10
2019-10-10;2020;Maaf Sante 2019_11;836-Maaf-Sante-2019.pdf;Maaf Sante 2019;Maaf Sante 2019;59.22;;;VRMT;;5;;18
2019-10-10;2020;Maaf Pro 2019_11;837-Maaf-Pro-2019.pdf;Maaf Pro 2019;Maaf Pro 2019;197.18;;;VRMT;;5;;18
2019-10-10;2020;Cipav 2019_11;838-CIPAV-2019.pdf;CIPAV 2019;CIPAV 2019;951.17;;;;;0;;7
2019-10-15;2020;Note De Frais N°0846;963-NDF_0846.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2019-10-15;2020;Note De Frais N°0847;964-NDF_0847.pdf;Station Total;Carburant Auto;71.71;11.95;59.76;CB PRO;;3;;10
2019-10-17;2020;Note De Frais N°0848;965-NDF_0848.pdf;Le Coq Noir;Restauration;44.5;4.47;40.03;CB PRO;;3;;15
2019-10-21;2020;Note De Frais N°1974493_63;420-NDF_1974493.pdf;Mercedes - LOA;LOA véhicule;414.57;;;VRMT;;5;;9
2019-10-20;2020;Note De Frais N°0849;966-NDF_0849.pdf;Old Wild West;Restauration;60.6;6.4;54.2;CB PRO;;3;;15
2019-10-22;2020;Note De Frais N°0850;967-NDF_0850.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2019-10-29;2020;Note De Frais N°0851;968-NDF_0851.pdf;La Table d'Home;Restauration;32;3.147;32;CB PRO;;3;;15
2019-10-29;2020;Note De Frais N°0852;969-NDF_0852.pdf;Station Total;Carburant Auto;70.34;11.72;58.62;CB PRO;;3;;10
2019-10-31;2020;Note De Frais N°0853;970-NDF_0853.pdf;La Table d'Home;Restauration;64;6.25;64;CB PRO;;3;;15
2019-10-31;2020;Note De Frais N°0854;971-NDF_0854.pdf;Dupont Café;Restauration;50;5.03;44.97;CB PRO;;3;;15
2019-10-31;2020;Note De Frais N°0855_2;972-NDF_0855.pdf;Forfait mobile d'Octobre 2019;Forfait mobile d'Octobre 2019;50;;;VRMT;PAYE;5;1;33
2019-10-31;2020;Note De Frais N°0855_1;972-NDF_0855.pdf;Forfait internet d'Octobre  2019;Forfait internet d'Octobre  2019;50;;;VRMT;PAYE;5;1;34
2019-10-31;2020;Note De Frais N°0855;972-NDF_0855.pdf;EDF d'Octobre  2019;EDF d'Octobre  2019;50;;;VRMT;PAYE;5;1;32
2019-11-02;2020;Note De Frais N°0856;973-NDF_0856.pdf;Agrume;Restauration;29.3;3.11;26.19;CB PRO;;3;;15
2019-11-08;2020;Maaf Sante 2019_12;836-Maaf-Sante-2019.pdf;Maaf Sante 2019;Maaf Sante 2019;59.22;;;VRMT;;5;;18
2019-11-12;2020;Maaf Pro 2019_12;837-Maaf-Pro-2019.pdf;Maaf Pro 2019;Maaf Pro 2019;191.28;;;VRMT;;5;;18
2019-11-12;2020;Cipav 2019_12;838-CIPAV-2019.pdf;CIPAV 2019;CIPAV 2019;951.17;;;;;0;;7
